"","GPP_QAQC","GPPlag","R_QAQC","Rlag","NEM_QAQC","NEMlag","airtemp_ZT","rain_ZT","rain_lag1_ZT","rain_lag2_ZT","EXO_fdom_ZT","EXO_chla_ZT","flow_ZT","TN_ZT","TP_ZT","DOC_ZT","SRP_ZT","NO3NO2_ZT","NH4_ZT","Kd_ZT","E24_ZT","schmidt_ZT"
"GPP_QAQC",1,0.661571033751007,-0.561123585747693,-0.406659860029401,0.213075618692592,0.135370688860292,0.673579561447289,0.0247300997436288,0.0131500369159772,0.0555781869722289,0.0928493515064695,-0.0288599144960814,-0.204658993713832,0.370952264688531,0.104961315185747,0.31745354485489,0.369706945596119,0.225845986423169,0.153397349997642,0.160653051841438,0.403557302256192,0.685003063017489
"GPPlag",0.661571033751007,1,-0.405207509124502,-0.561926613501659,0.133178323128984,0.212518400338559,0.637991462319709,0.0749322793088985,0.0154237233008329,0.0160018180477668,0.0989519361813345,-0.040473696129486,-0.219375468034216,0.308534594355403,0.23047024638301,0.352992312296817,0.269065519119916,0.194682548380039,0.207031906057174,0.260093375575432,0.314893142296491,0.676491445600332
"R_QAQC",-0.561123585747693,-0.405207509124502,1,0.317749313518668,0.579255574084342,-0.0136291782909344,-0.365347967864574,-0.0865858998462225,-0.0542166520891108,-0.0395557294138309,-0.114851387277196,0.0632418309362137,0.138751429063656,-0.352129658328908,-0.15713425857403,-0.231022288051531,-0.091359744531464,-0.128049619772475,-0.146404127719198,-0.0159417422608877,-0.299282396113766,-0.402338116918318
"Rlag",-0.406659860029401,-0.561926613501659,0.317749313518668,1,-0.00862311576961949,0.578734992439263,-0.336886350677049,-0.0538518638380174,-0.0528016080265426,-0.0520650294878314,-0.118576403907291,0.0887638258349147,0.140068224301012,-0.236894077669522,-0.0567578850366784,-0.221951913833102,-0.0295361705791537,-0.184192320644394,-0.117389012553446,-0.0745000432782345,-0.161976126720327,-0.386113516873538
"NEM_QAQC",0.213075618692592,0.133178323128984,0.579255574084342,-0.00862311576961949,1,0.154576502024043,0.1782233503232,-0.0859385884753981,-0.0528866798704097,0.0253070295806213,-0.0359392062285,0.0922095392855247,-0.0468520155354943,-0.0581177778300507,-0.0458571093390675,0.053712950644203,0.20302675363918,0.00773888194547702,-0.0393892729446817,0.152975149312818,0.0663651847093134,0.156393180208417
"NEMlag",0.135370688860292,0.212518400338559,-0.0136291782909344,0.578734992439263,0.154576502024043,1,0.187817891840638,0.0108143851554327,-0.050301563771937,-0.0438453325589615,-0.00572236875143302,0.12618609734062,-0.053247785066462,-0.0428181603191023,0.120400875401065,0.0605551365672674,0.168821059510571,-0.0436565346285447,-0.0218959095183887,0.138915692369346,0.146731257401259,0.174111824384151
"airtemp_ZT",0.673579561447289,0.637991462319709,-0.365347967864574,-0.336886350677049,0.1782233503232,0.187817891840638,1,0.0617615777388236,-0.0304823868142221,-0.0271531983466323,0.167197463365493,-0.221174513680843,-0.219860336848558,0.168722705024584,-0.137740570829727,0.375675412435479,0.273608839330196,0.12469302411075,0.188164178606294,0.032799327646647,0.616668379441311,0.910284686981547
"rain_ZT",0.0247300997436288,0.0749322793088985,-0.0865858998462225,-0.0538518638380174,-0.0859385884753981,0.0108143851554327,0.0617615777388236,1,0.335179871215346,0.0855783204657841,0.0671483849038331,0.0380060387205889,0.0925520859000265,0.158514509750799,-0.119047682794549,0.230055079165043,0.0450754216619376,0.00754286018034974,0.0823954553889926,-0.0219690865457842,0.0620681064119082,0.0868160228050305
"rain_lag1_ZT",0.0131500369159772,0.0154237233008329,-0.0542166520891108,-0.0528016080265426,-0.0528866798704097,-0.050301563771937,-0.0304823868142221,0.335179871215346,1,0.334836298453354,0.0281796936047237,0.0345794405746636,0.141427910124419,0.101849701910397,-0.0631279302455836,0.0586522313907092,0.0962554786797934,0.0780824713209018,0.0336721483544977,-0.0450677764091495,0.0122491661147894,0.0333813594720385
"rain_lag2_ZT",0.0555781869722289,0.0160018180477668,-0.0395557294138309,-0.0520650294878314,0.0253070295806213,-0.0438453325589615,-0.0271531983466323,0.0855783204657841,0.334836298453354,1,0.0547075132887006,0.0178864075323401,0.138816845353884,0.0929356633080791,-0.157354872303358,0.15225618834267,-0.00666329649892317,-0.0222660917520705,-0.0857755755253909,-0.0716154209612899,0.0410956867600857,0.0426316093155457
"EXO_fdom_ZT",0.0928493515064695,0.0989519361813345,-0.114851387277196,-0.118576403907291,-0.0359392062285,-0.00572236875143302,0.167197463365493,0.0671483849038331,0.0281796936047237,0.0547075132887006,1,0.0525624055270313,-0.289189352937301,0.286830529352057,0.35847663648,0.435945910863943,-0.270827047749733,0.149747716863691,0.391005412815211,0.406369125753691,-0.215821812596006,0.0825585403187592
"EXO_chla_ZT",-0.0288599144960814,-0.040473696129486,0.0632418309362137,0.0887638258349147,0.0922095392855247,0.12618609734062,-0.221174513680843,0.0380060387205889,0.0345794405746636,0.0178864075323401,0.0525624055270313,1,-0.15743303070425,-0.186913588196385,0.318546775143774,0.303167680000482,-0.162425639497516,0.0223673804935639,0.105406473321671,0.338693522106867,-0.156318681318681,-0.196054581376385
