"","GPP_QAQC","GPPlag","R_QAQC","Rlag","NEM_QAQC","NEMlag","airtemp_ZT","rain_ZT","rain_lag1_ZT","rain_lag2_ZT","EXO_fdom_ZT","EXO_chla_ZT","flow_ZT","TN_ZT","TP_ZT","DOC_ZT","SRP_ZT","NO3NO2_ZT","NH4_ZT","Kd_ZT","E24_ZT","schmidt_ZT"
"flow_ZT",-0.204658993713832,-0.219375468034216,0.138751429063656,0.140068224301012,-0.0468520155354943,-0.053247785066462,-0.219860336848558,0.0925520859000265,0.141427910124419,0.138816845353884,-0.289189352937301,-0.15743303070425,1,-0.667963071594561,-0.0517903792564021,-0.67329929382858,-0.0443266017903689,-0.102528231338958,-0.239243668740306,-0.248264945006956,0.0426481138719821,-0.187439502864927
"TN_ZT",0.370952264688531,0.308534594355403,-0.352129658328908,-0.236894077669522,-0.0581177778300507,-0.0428181603191023,0.168722705024584,0.158514509750799,0.101849701910397,0.0929356633080791,0.286830529352057,-0.186913588196385,-0.667963071594561,1,0.388796361489599,0.591979684600829,0.13177929927633,0.0946728768003049,0.275226730989225,0.356705618182621,-0.262981215011648,0.211233180728082
"TP_ZT",0.104961315185747,0.23047024638301,-0.15713425857403,-0.0567578850366784,-0.0458571093390675,0.120400875401065,-0.137740570829727,-0.119047682794549,-0.0631279302455836,-0.157354872303358,0.35847663648,0.318546775143774,-0.0517903792564021,0.388796361489599,1,-0.0101412890848854,0.00682807783811478,-0.0718278441416052,0.152509944264698,0.375222599626954,-0.557836998399206,-0.257179839341447
"DOC_ZT",0.31745354485489,0.352992312296817,-0.231022288051531,-0.221951913833102,0.053712950644203,0.0605551365672674,0.375675412435479,0.230055079165043,0.0586522313907092,0.15225618834267,0.435945910863943,0.303167680000482,-0.67329929382858,0.591979684600829,-0.0101412890848854,1,0.159454123988065,0.222356029365499,0.380594034040783,0.370253414660012,-0.0266410848845253,0.446561891516944
"SRP_ZT",0.369706945596119,0.269065519119916,-0.091359744531464,-0.0295361705791537,0.20302675363918,0.168821059510571,0.273608839330196,0.0450754216619376,0.0962554786797934,-0.00666329649892317,-0.270827047749733,-0.162425639497516,-0.0443266017903689,0.13177929927633,0.00682807783811478,0.159454123988065,1,0.150368504928692,0.101809557736771,-0.0584986988724743,0.243530733776539,0.268306004478703
"NO3NO2_ZT",0.225845986423169,0.194682548380039,-0.128049619772475,-0.184192320644394,0.00773888194547702,-0.0436565346285447,0.12469302411075,0.00754286018034974,0.0780824713209018,-0.0222660917520705,0.149747716863691,0.0223673804935639,-0.102528231338958,0.0946728768003049,-0.0718278441416052,0.222356029365499,0.150368504928692,1,0.412254226326787,0.0155162175779023,0.0467643928455844,0.116238006821065
"NH4_ZT",0.153397349997642,0.207031906057174,-0.146404127719198,-0.117389012553446,-0.0393892729446817,-0.0218959095183887,0.188164178606294,0.0823954553889926,0.0336721483544977,-0.0857755755253909,0.391005412815211,0.105406473321671,-0.239243668740306,0.275226730989225,0.152509944264698,0.380594034040783,0.101809557736771,0.412254226326787,1,0.202122787633006,-0.0544858588612496,0.104829615975422
"Kd_ZT",0.160653051841438,0.260093375575432,-0.0159417422608877,-0.0745000432782345,0.152975149312818,0.138915692369346,0.032799327646647,-0.0219690865457842,-0.0450677764091495,-0.0716154209612899,0.406369125753691,0.338693522106867,-0.248264945006956,0.356705618182621,0.375222599626954,0.370253414660012,-0.0584986988724743,0.0155162175779023,0.202122787633006,1,-0.276380965893246,0.0831352801672179
"E24_ZT",0.403557302256192,0.314893142296491,-0.299282396113766,-0.161976126720327,0.0663651847093134,0.146731257401259,0.616668379441311,0.0620681064119082,0.0122491661147894,0.0410956867600857,-0.215821812596006,-0.156318681318681,0.0426481138719821,-0.262981215011648,-0.557836998399206,-0.0266410848845253,0.243530733776539,0.0467643928455844,-0.0544858588612496,-0.276380965893246,1,0.743310557848675
"schmidt_ZT",0.685003063017489,0.676491445600332,-0.402338116918318,-0.386113516873538,0.156393180208417,0.174111824384151,0.910284686981547,0.0868160228050305,0.0333813594720385,0.0426316093155457,0.0825585403187592,-0.196054581376385,-0.187439502864927,0.211233180728082,-0.257179839341447,0.446561891516944,0.268306004478703,0.116238006821065,0.104829615975422,0.0831352801672179,0.743310557848675,1
