"DateTime","Depth_m","Temp_C","DO_mgL","DOsat_percent"
"2015-11-09 12:00:00",0.1,NA,NA,NA
"2015-11-09 12:00:00",1,NA,NA,NA
"2015-11-09 12:00:00",2,NA,NA,NA
"2015-11-09 12:00:00",3,NA,NA,NA
"2015-11-09 12:00:00",4,NA,NA,NA
"2015-11-09 12:00:00",5,NA,NA,NA
"2015-11-09 12:00:00",6,NA,NA,NA
"2015-11-09 12:00:00",7,NA,NA,NA
"2015-11-09 12:00:00",8,NA,NA,NA
"2015-11-09 12:00:00",9,NA,NA,NA
"2015-12-07 12:00:00",0.1,NA,NA,NA
"2015-12-07 12:00:00",1,NA,NA,NA
"2015-12-07 12:00:00",2,NA,NA,NA
"2015-12-07 12:00:00",3,NA,NA,NA
"2015-12-07 12:00:00",4,NA,NA,NA
"2015-12-07 12:00:00",5,NA,NA,NA
"2015-12-07 12:00:00",6,NA,NA,NA
"2015-12-07 12:00:00",7,NA,NA,NA
"2015-12-07 12:00:00",8,NA,NA,NA
"2015-12-07 12:00:00",9,NA,NA,NA
"2016-02-05 12:00:00",0.1,3.7,12.5,101.2
"2016-02-05 12:00:00",0.8,3.7,13.26,105.7
"2016-02-05 12:00:00",1.6,3.7,13.67,108.8
"2016-02-05 12:00:00",2.8,3.7,14.14,112.6
"2016-02-05 12:00:00",3.8,3.7,14.46,115
"2016-02-05 12:00:00",5,3.7,14.87,118
"2016-02-05 12:00:00",6.2,3.7,14.81,117.7
"2016-02-05 12:00:00",8,3.7,14.43,112.9
"2016-02-05 12:00:00",9,4,12.6,100.6
"2016-03-30 12:00:00",0.1,12.4,9,NA
"2016-03-30 12:00:00",0.8,12.4,8.82,NA
"2016-03-30 12:00:00",1.6,12.1,8.92,NA
"2016-03-30 12:00:00",2.8,11.5,8.56,NA
"2016-03-30 12:00:00",3.8,11.2,9.29,NA
"2016-03-30 12:00:00",5,9,9.06,NA
"2016-03-30 12:00:00",6.2,8,8.56,NA
"2016-03-30 12:00:00",8,7,6.82,NA
"2016-03-30 12:00:00",9,6.8,7.04,NA
"2016-04-04 12:00:00",0.1,12.6,8.95,89.1
"2016-04-04 12:00:00",0.4,12.5,8.19,83.4
"2016-04-04 12:00:00",0.7,12.5,8.1,80.8
"2016-04-04 12:00:00",1,12.5,8.13,80.4
"2016-04-04 12:00:00",1.3,12.5,7.93,79
"2016-04-04 12:00:00",1.6,12.5,8.17,82.4
"2016-04-04 12:00:00",1.9,12.5,8.32,82.7
"2016-04-04 12:00:00",2.3,12.5,8.23,81.9
"2016-04-04 12:00:00",2.6,12.5,7.88,78.6
"2016-04-04 12:00:00",2.9,12.5,8.14,81.1
"2016-04-04 12:00:00",3.2,12.3,8.14,80.8
"2016-04-04 12:00:00",3.5,12.3,8.03,79.7
"2016-04-04 12:00:00",3.8,11.9,8.02,79.5
"2016-04-04 12:00:00",4.1,11.8,8.39,82.9
"2016-04-04 12:00:00",4.4,11.4,8.57,83.5
"2016-04-04 12:00:00",4.7,10.5,8.52,80.9
"2016-04-04 12:00:00",5,10,8.9,83.6
"2016-04-04 12:00:00",5.3,9.3,8.73,81.7
"2016-04-04 12:00:00",5.6,9.1,8.35,77.1
"2016-04-04 12:00:00",5.9,8.6,7.98,73.6
"2016-04-04 12:00:00",6.2,8.4,7.96,71.6
"2016-04-04 12:00:00",6.5,7.9,7.69,68.9
"2016-04-04 12:00:00",6.8,7.7,6.93,61.7
"2016-04-04 12:00:00",7.1,7.6,6.84,60.8
"2016-04-04 12:00:00",7.4,7.4,6.54,57.9
"2016-04-04 12:00:00",7.7,7.4,6.01,52.8
"2016-04-04 12:00:00",8,7.3,5.81,50.8
"2016-04-04 12:00:00",8.3,7.2,5.91,52.2
"2016-04-04 12:00:00",8.7,7.2,5.96,52.4
"2016-04-04 12:00:00",9,7.2,6.13,53.8
"2016-04-04 12:00:00",9.3,7.1,5.96,52.2
"2016-04-06 12:00:00",0.1,12.2,9.45,92.4
"2016-04-06 12:00:00",0.4,12.1,9.43,92.7
"2016-04-06 12:00:00",0.7,12.1,9.46,92.6
"2016-04-06 12:00:00",1,12.1,9.47,92.6
"2016-04-06 12:00:00",1.3,12.1,9.46,92.6
"2016-04-06 12:00:00",1.6,12.1,9.47,92.8
"2016-04-06 12:00:00",1.9,11.9,9.55,93.2
"2016-04-06 12:00:00",2.3,11.5,9.51,92
"2016-04-06 12:00:00",2.6,11.3,9.39,90.1
"2016-04-06 12:00:00",2.9,11.1,9.3,89.2
"2016-04-06 12:00:00",3.2,11,9.21,88.2
"2016-04-06 12:00:00",3.5,10.9,9.15,87
"2016-04-06 12:00:00",3.8,10.8,9.12,86.8
"2016-04-06 12:00:00",4.1,10.8,9.13,86.7
"2016-04-06 12:00:00",4.4,10.7,9.13,86.6
"2016-04-06 12:00:00",4.7,10.7,9.18,87
"2016-04-06 12:00:00",5,10.1,9.3,87.1
"2016-04-06 12:00:00",5.3,9.4,8.99,82.2
"2016-04-06 12:00:00",5.6,8.8,8.75,79
"2016-04-06 12:00:00",5.9,8.4,8.5,75.8
"2016-04-06 12:00:00",6.2,8,7.8,69.2
"2016-04-06 12:00:00",6.5,7.7,7.48,66.2
"2016-04-06 12:00:00",6.8,7.6,7.3,64.4
"2016-04-06 12:00:00",7.1,7.5,6.76,59.4
"2016-04-06 12:00:00",7.4,7.4,6.75,59.4
"2016-04-06 12:00:00",7.7,7.3,6.78,59.2
"2016-04-06 12:00:00",8,7.2,6.79,59.2
"2016-04-06 12:00:00",8.3,7.2,6.67,58.2
"2016-04-06 12:00:00",8.7,7.1,5.71,49.5
"2016-04-06 12:00:00",9,7.1,5.58,48.8
"2016-04-06 12:00:00",9.3,7.1,5.73,49.7
"2016-04-11 12:00:00",0.1,10.58,10.6,100.1
"2016-04-11 12:00:00",0.4,10.57,10.6,100.4
"2016-04-11 12:00:00",0.7,10.64,10.5,99.6
"2016-04-11 12:00:00",1,10.53,10.4,99.8
"2016-04-11 12:00:00",1.3,10.56,10.4,99.4
"2016-04-11 12:00:00",1.6,10.52,10.4,99.1
"2016-04-11 12:00:00",1.9,10.53,10.4,99.1
"2016-04-11 12:00:00",2.3,10.54,10.3,97.9
"2016-04-11 12:00:00",2.6,10.4,10.1,98.1
"2016-04-11 12:00:00",2.9,10.45,10.1,97.2
"2016-04-11 12:00:00",3.2,10.43,10,96.6
"2016-04-11 12:00:00",3.5,10.4,9.8,95.9
"2016-04-11 12:00:00",3.8,10.32,9.7,95.9
"2016-04-11 12:00:00",4.1,10.34,9.7,94.8
"2016-04-11 12:00:00",4.4,10.27,9.6,93.9
"2016-04-11 12:00:00",4.7,10.19,9.5,93.2
"2016-04-11 12:00:00",5,10.14,9.4,92.5
"2016-04-11 12:00:00",5.3,10.09,9.3,91.6
"2016-04-11 12:00:00",5.6,9.96,9.3,88.7
"2016-04-11 12:00:00",5.9,9.74,9.2,78.3
"2016-04-11 12:00:00",6.2,8.74,8.7,71.7
"2016-04-11 12:00:00",6.5,8.02,8.3,68.4
"2016-04-11 12:00:00",6.8,7.7,7.9,64.7
"2016-04-11 12:00:00",7.1,7.38,7.7,61
"2016-04-11 12:00:00",7.4,6.94,7.5,59.6
"2016-04-11 12:00:00",7.7,6.79,7.4,58.3
"2016-04-11 12:00:00",8,6.66,7.4,57.1
"2016-04-11 12:00:00",8.3,6.57,7.3,56.7
"2016-04-11 12:00:00",8.7,6.49,7.3,50.6
"2016-04-11 12:00:00",9,5.82,7.2,44.4
"2016-04-11 12:00:00",9.3,5.09,7.2,9.96
"2016-04-18 12:00:00",0.1,16.1,9.58,102.05
"2016-04-18 12:00:00",0.4,15.95,7.575,101.95
"2016-04-18 12:00:00",0.7,15.8,9.605,101.85
"2016-04-18 12:00:00",0.8,NA,NA,NA
"2016-04-18 12:00:00",1,15.6,9.59,100.95
"2016-04-18 12:00:00",1.3,15.2,9.605,100.85
"2016-04-18 12:00:00",1.6,15,9.615,100.35
"2016-04-18 12:00:00",1.9,14.95,9.655,100.7
"2016-04-18 12:00:00",2.3,14.75,9.63,100.15
"2016-04-18 12:00:00",2.6,14,9.89,101.3
"2016-04-18 12:00:00",2.8,13.6,10.14,102.1
"2016-04-18 12:00:00",2.9,13.2,10.29,104.2
"2016-04-18 12:00:00",3.2,12.8,10.425,103.6
"2016-04-18 12:00:00",3.5,12.45,10.425,102.95
"2016-04-18 12:00:00",3.8,11.95,10.305,100.7
"2016-04-18 12:00:00",4.1,11.4,10.35,99.55
"2016-04-18 12:00:00",4.4,11,10.29,98.1
"2016-04-18 12:00:00",4.7,10.7,10.17,96.1
"2016-04-18 12:00:00",5,10.35,9.965,93.15
"2016-04-18 12:00:00",5.3,10.15,9.78,91.35
"2016-04-18 12:00:00",5.6,9.85,9.535,87.9
"2016-04-18 12:00:00",5.9,9.65,9.11,84.3
"2016-04-18 12:00:00",6.2,9.4,8.65,79.2
"2016-04-18 12:00:00",6.5,9.1,7.995,72
"2016-04-18 12:00:00",6.8,8.85,7.1,64.2
"2016-04-18 12:00:00",7.1,8.5,6.18,55.15
"2016-04-18 12:00:00",7.4,8.2,5.62,49.7
"2016-04-18 12:00:00",7.7,7.95,5.37,47.2
"2016-04-18 12:00:00",8,7.85,5.27,46.4
"2016-04-18 12:00:00",8.3,7.75,5.18,45.3
"2016-04-18 12:00:00",8.7,7.7,4.54,39.75
"2016-04-18 12:00:00",9,7.6,4.365,38.3
"2016-04-18 12:00:00",9.3,7.55,4.445,38.85
"2016-04-20 12:00:00",0.1,16.9,9.23,100.6
"2016-04-20 12:00:00",0.4,16.9,9.23,99.4
"2016-04-20 12:00:00",0.7,16.6,9.31,100.4
"2016-04-20 12:00:00",1,16.2,9.52,102.1
"2016-04-20 12:00:00",1.3,16.1,9.64,102.6
"2016-04-20 12:00:00",1.6,15.9,9.68,102.5
"2016-04-20 12:00:00",1.9,15.7,9.72,102.8
"2016-04-20 12:00:00",2.3,15.2,9.81,102.9
"2016-04-20 12:00:00",2.6,14.4,10.12,104.5
"2016-04-20 12:00:00",2.9,13.8,10.42,105.7
"2016-04-20 12:00:00",3.2,13.6,10.42,105.3
"2016-04-20 12:00:00",3.5,13.2,10.47,105.3
"2016-04-20 12:00:00",3.8,12.8,10.47,104.3
"2016-04-20 12:00:00",4.1,12.1,10.42,101.6
"2016-04-20 12:00:00",4.4,11.6,10.33,100.4
"2016-04-20 12:00:00",4.7,11,10.12,96.3
"2016-04-20 12:00:00",5,10.7,9.94,93.6
"2016-04-20 12:00:00",5.3,10.4,9.52,89.6
"2016-04-20 12:00:00",5.6,10.2,9.18,85.3
"2016-04-20 12:00:00",5.9,9.8,8.47,78
"2016-04-20 12:00:00",6.2,8.8,7.41,67.2
"2016-04-20 12:00:00",6.5,8.6,7.04,63.4
"2016-04-20 12:00:00",6.8,8.4,7,62.5
"2016-04-20 12:00:00",7.1,8.4,6.96,62.3
"2016-04-20 12:00:00",7.4,8.3,6.95,62.1
"2016-04-20 12:00:00",7.7,8.3,6.96,62.1
"2016-04-20 12:00:00",8,8.3,6.96,61.8
"2016-04-20 12:00:00",8.3,8.2,6.95,62.1
"2016-04-20 12:00:00",8.7,8.2,6.95,61.8
"2016-04-20 12:00:00",9,8.2,6.95,61.6
"2016-04-20 12:00:00",9.3,8.2,6.86,61.4
"2016-04-25 12:00:00",0.1,17,9.36,102.5
"2016-04-25 12:00:00",0.8,16.7,9.32,101.1
"2016-04-25 12:00:00",1.6,16.5,9.38,101.7
"2016-04-25 12:00:00",2.8,15.3,9.55,101.1
"2016-04-25 12:00:00",3.8,13,10.79,108.8
"2016-04-25 12:00:00",5,10.9,10.12,96.6
"2016-04-25 12:00:00",6.2,9.1,9.05,82.9
"2016-04-25 12:00:00",8,8.8,9.17,83.2
"2016-04-25 12:00:00",9,8.7,9.17,83.3
"2016-04-25 12:00:00",9.3,8.7,9.12,83.1
"2016-05-02 12:00:00",0.1,19.4,8.9,102.9
"2016-05-02 12:00:00",0.4,19.4,8.97,103.1
"2016-05-02 12:00:00",0.7,19.3,8.97,103.5
"2016-05-02 12:00:00",1,19.2,9.02,102.8
"2016-05-02 12:00:00",1.3,19.1,9.06,103.2
"2016-05-02 12:00:00",1.6,18.7,9.28,103.4
"2016-05-02 12:00:00",1.9,18.2,9.62,107.8
"2016-05-02 12:00:00",2.3,17.7,9.87,110.4
"2016-05-02 12:00:00",2.6,17.1,9.9,109.4
"2016-05-02 12:00:00",2.9,16.4,10.15,109.8
"2016-05-02 12:00:00",3.2,15.5,10.42,110.7
"2016-05-02 12:00:00",3.5,14.7,10.53,110
"2016-05-02 12:00:00",3.8,13.3,10.38,106.4
"2016-05-02 12:00:00",4.1,12.5,10.4,103.9
"2016-05-02 12:00:00",4.4,12,10.3,100.8
"2016-05-02 12:00:00",4.7,11.7,10.19,98.9
"2016-05-02 12:00:00",5,11.5,9.96,97.1
"2016-05-02 12:00:00",5.3,10.9,9.55,90.9
"2016-05-02 12:00:00",5.6,10.4,8.67,81.9
"2016-05-02 12:00:00",5.9,9.6,10,93.4
"2016-05-02 12:00:00",6.2,9.4,10.42,96.6
"2016-05-02 12:00:00",6.5,9.3,10.6,98.7
"2016-05-02 12:00:00",6.8,9.3,10.66,99.1
"2016-05-02 12:00:00",7.1,9.2,10.79,99.6
"2016-05-02 12:00:00",7.4,9.2,10.83,100.1
"2016-05-02 12:00:00",7.7,9.2,10.92,100.6
"2016-05-02 12:00:00",8,9.2,10.92,100.6
"2016-05-02 12:00:00",8.3,9.2,10.89,100.4
"2016-05-02 12:00:00",8.7,9.2,10.89,100.2
"2016-05-02 12:00:00",9,9.2,10.83,100.1
"2016-05-02 12:00:00",9.3,9.2,10.89,100.5
"2016-05-04 13:39:00",0.1,20.2,8.45,99.7
"2016-05-04 13:39:00",0.4,20.1,8.43,99.6
"2016-05-04 13:39:00",0.7,20,8.5,99.7
"2016-05-04 13:39:00",1,19.7,8.43,98.7
"2016-05-04 13:39:00",1.3,19.5,8.54,99.3
"2016-05-04 13:39:00",1.6,19.1,8.73,101.5
"2016-05-04 13:39:00",1.9,18.6,9.06,104.3
"2016-05-04 13:39:00",2.3,18.1,9.09,103.4
"2016-05-04 13:39:00",2.6,17.5,9.29,104.5
"2016-05-04 13:39:00",2.9,16.8,9.57,106.8
"2016-05-04 13:39:00",3.2,15.9,9.82,105.5
"2016-05-04 13:39:00",3.5,14.9,10.01,106.7
"2016-05-04 13:39:00",3.8,14,10.19,105.9
"2016-05-04 13:39:00",4.1,13.3,10.06,103.1
"2016-05-04 13:39:00",4.4,12.6,9.9,99.9
"2016-05-04 13:39:00",4.7,12,9.58,95.8
"2016-05-04 13:39:00",5,11.6,9.37,92.6
