"solarDay" "GPP" "R"
"1" 2015-11-09 -11.650784178207 0.00844032919578325
"2" 2015-11-10 0.410716185427924 0.0346071692149957
"3" 2015-11-11 0.484436688316769 0.199977916112434
"4" 2015-11-12 -0.0485035261437787 0.0435744626833852
"5" 2015-11-13 0.286722582829709 -0.0830538195817819
"6" 2015-11-14 0.380554213333986 0.124072935771314
"7" 2015-11-15 0.379699746009137 0.185178819797258
"8" 2015-11-16 0.299932122459727 0.138066075727078
"9" 2015-11-17 0.47774809473797 0.318582598035192
"10" 2015-11-18 0.240666345174037 0.263049222744071
"11" 2015-11-19 0.574743489644071 0.237407119322823
"12" 2015-11-20 0.56174013193678 0.640218937872402
"13" 2015-11-21 0.161936680261587 0.27590956723453
"14" 2015-11-22 0.240087707141526 -0.151897296227256
"15" 2015-11-23 0.365895914593579 0.0247796900777193
"16" 2015-11-24 0.243229608886627 0.0488674099930122
"17" 2015-11-25 0.138074024423951 0.004785320748815
"18" 2015-11-26 0.215561993626988 -0.0182216116926757
"19" 2015-11-27 0.497933763817719 0.126456758168113
"20" 2015-11-28 0.3732309838774 0.297117384163251
"21" 2015-11-29 0.599542823187029 0.319147661376109
"22" 2015-11-30 0.196481096980679 0.350090582535159
"23" 2015-12-01 0.456999076731826 0.325345570822021
"24" 2015-12-02 0.418496324054934 0.565336165818318
"25" 2015-12-03 0.517274481499248 0.47280671129709
"26" 2015-12-04 0.341933103458454 0.21944389810349
"27" 2015-12-05 0.230112002068089 0.236729974932622
"28" 2015-12-06 0.518051336072426 0.26426261536105
"29" 2015-12-07 0.414466364365212 0.217259263649881
"30" 2015-12-08 0.40461945259775 0.312871636472226
"31" 2015-12-09 0.206271039505497 0.171731315298463
"32" 2015-12-10 0.39882520934795 0.0283457724802281
"33" 2015-12-11 0.301392364235827 0.190612331120361
"34" 2015-12-12 0.371258371763193 0.158129191345367
"35" 2015-12-13 0.594055046998259 0.24173314448871
"36" 2015-12-14 -0.0636699683757469 0.169027332225398
"37" 2015-12-15 0.308083138330063 0.0720054165782785
"38" 2015-12-16 0.286901081262674 0.121031711218373
"39" 2015-12-17 0.296544511330645 0.194082597591843
"40" 2015-12-18 0.507446334749743 0.548077687710366
"41" 2015-12-19 0.0670431649749504 0.482004265904219
"42" 2015-12-20 0.18834487949534 0.0675052091374
"43" 2015-12-21 0.119255912863547 -0.0589680266105168
"44" 2015-12-22 0.535604680637536 -0.105944153188015
"45" 2015-12-23 0.120262347271851 0.214820145983537
"46" 2015-12-24 0.804559656390624 0.407697668220555
"47" 2015-12-25 0.643329136797996 0.683539345213948
"48" 2015-12-26 1.15429856633451 0.879758361141259
"49" 2015-12-27 0.886573845590272 0.481590398665303
"50" 2015-12-28 0.279028534961232 0.0841700014866116
"51" 2015-12-29 1.20248484853886 0.354605998326617
"52" 2015-12-30 0.59579635163332 0.559379884209075
"53" 2015-12-31 0.551101289600741 0.335317409701017
"54" 2016-01-01 0.162769971881424 0.541553677070414
"55" 2016-01-02 0.284002592830124 0.42077345858873
"56" 2016-01-03 0.329456363243715 0.0743277002014706
"57" 2016-01-04 0.207252236226998 -0.0922775509856995
"58" 2016-01-05 0.230800165562762 -0.159084496104691
"59" 2016-01-06 0.0264669223531009 -0.135307372905838
"60" 2016-01-07 0.0667411182330142 -0.108872108117213
"61" 2016-01-08 0.144143878099207 0.0904920026062891
"62" 2016-01-09 0.397527112010691 0.170269845984658
"63" 2016-01-10 0.163030456959311 0.0754223252339877
"64" 2016-01-11 0.130991788529716 0.0115200628103021
"65" 2016-01-12 0.0852790393095007 -0.0868139657621859
"66" 2016-01-13 -0.00447682524492679 -0.218305942716679
"67" 2016-01-14 -0.0961781651460484 -0.299152319218197
"68" 2016-01-15 0.0815696118745428 -0.130408011050167
"69" 2016-01-16 0.0878654134659829 0.018383760221366
"70" 2016-01-17 0.0940849353608191 -0.0742759509689081
"71" 2016-01-18 0.00764101370021608 -0.332962547005553
"72" 2016-01-19 -0.0329535473741534 -0.352941609531913
"73" 2016-01-20 -0.0125474552201354 -0.142284988701345
"74" 2016-01-21 0.0492078623241342 -0.0375887378540894
"75" 2016-01-22 -0.0562904084016565 -0.0886572215881505
"76" 2016-01-23 0.0193237806066009 -0.183907243686648
"77" 2016-01-24 0.139295556996533 -0.06109708130342
"78" 2016-01-25 0.1296284822362 0.191071438031447
"79" 2016-01-26 0.225807418031011 0.240568833846651
"80" 2016-01-27 0.00956788774388805 -0.200438531442075
"81" 2016-01-28 -0.18365337311097 -0.305681224237484
"82" 2016-01-29 0.109758108794631 -0.0337493534395389
"83" 2016-01-30 0.0927186970797956 0.00696322883528041
"84" 2016-01-31 -0.107498671199449 -0.0712172226521772
"85" 2016-02-01 0.027378265372046 -0.141245164826853
"86" 2016-02-02 -0.0518341902973688 -0.158219952548064
"87" 2016-02-03 -0.118842706605596 -0.286238120918171
"88" 2016-02-04 -0.0575974458808597 -0.0433310585794777
"89" 2016-02-05 -0.0712546558771226 0.208214782633795
"90" 2016-02-06 0.0538511520925829 0.0517488642454102
"91" 2016-02-07 -0.0506860679343093 0.0536938680012981
"92" 2016-02-08 -0.0598192614344129 -0.136547786548339
"93" 2016-02-09 -0.126076354910928 -0.293825978737276
"94" 2016-02-10 0.0111690479879026 -0.241242456357435
"95" 2016-02-11 0.243592862106856 -0.244116665226788
"96" 2016-02-12 0.000672658649241618 -0.0800314639625422
"97" 2016-02-13 0.287686508295936 -0.0524231072815747
"98" 2016-02-14 0.170654867897184 -0.0936529720904285
"99" 2016-02-15 0.0147864770264385 -0.0829481297721339
