"solarDay" "GPPFit"
"139" 2016-03-26 0.775361435827708
"140" 2016-03-27 0.000482677638966801
"141" 2016-03-28 0.208402552417038
"142" 2016-03-29 1.86931920605397e-05
"143" 2016-03-30 0.571063803364902
"144" 2016-03-31 0.31586456156809
"145" 2016-04-01 0.679323692225388
"146" 2016-04-02 0.544091428142794
"147" 2016-04-03 0.236495019677496
"148" 2016-04-04 0.569634056626602
"149" 2016-04-05 0.0778007746921472
"150" 2016-04-06 0.148527521694768
"151" 2016-04-07 0.231683325296036
"152" 2016-04-08 0.0153832303667036
"153" 2016-04-09 0.0702912917585278
"154" 2016-04-10 0.275884866807271
"155" 2016-04-11 0.205517947088256
"156" 2016-04-12 0.0580141796473433
"157" 2016-04-13 0.647066746257642
"158" 2016-04-14 0.481763868144975
"159" 2016-04-15 0.0515846288767965
"160" 2016-04-16 0.0407704005131506
"161" 2016-04-17 0.161099198810912
"162" 2016-04-18 0.0202982911624932
"163" 2016-04-19 2.59204973484831e-06
"164" 2016-04-20 6.65185034061868e-05
"165" 2016-04-21 1.18436442658624
"166" 2016-04-22 0.0318717240318812
"167" 2016-04-23 0.00987893254496685
"168" 2016-04-24 0.285416728106125
"169" 2016-04-25 0.229574250485649
"170" 2016-04-26 0.304961657638188
"171" 2016-04-27 0.646890573188852
"172" 2016-04-28 0.782772973196218
"173" 2016-04-29 0.715017899481643
"174" 2016-04-30 0.0019034942804331
"175" 2016-05-01 1.08405617160679
"176" 2016-05-02 0.629355593489795
"177" 2016-05-03 0.399713981297958
"178" 2016-05-04 0.931024399160976
"179" 2016-05-05 0.213747664709068
"180" 2016-05-06 0.464577824096066
"181" 2016-05-07 0.359721862298928
"182" 2016-05-08 0.307617990112064
"183" 2016-05-09 0.911452331430886
"184" 2016-05-10 0.873748920719677
"185" 2016-05-11 1.0053077081118
"186" 2016-05-12 0.835777035524096
"187" 2016-05-13 0.182219959523239
"188" 2016-05-14 0.501289208783069
"189" 2016-05-15 0.384832680184411
"190" 2016-05-16 0.35632381876053
"191" 2016-05-17 0.324544228155718
"192" 2016-05-18 0.453151370287058
"193" 2016-05-19 0.378586059545035
"194" 2016-05-20 0.362043515854227
"195" 2016-05-21 0.621562223841087
"196" 2016-05-22 0.257758829138382
"197" 2016-05-23 0.328056627722253
"198" 2016-05-24 0.449253977072231
"199" 2016-05-25 1.43865528845492
"200" 2016-05-26 1.64336780493083
"201" 2016-05-27 2.01213898217353
"202" 2016-05-28 3.04069947662167
"203" 2016-05-29 1.30931071907824
"204" 2016-05-30 1.72277025878182
"205" 2016-05-31 2.25600642311912
"206" 2016-06-01 1.18105301195004
"207" 2016-06-02 1.62178896876814
"208" 2016-06-03 2.45417807933216
"209" 2016-06-04 2.94099989453935
"210" 2016-06-05 2.17286921335837
"211" 2016-06-06 1.68914096485881
"212" 2016-06-07 1.64812558735254
"213" 2016-06-08 0.0899210968462785
"214" 2016-06-09 0.54040120790625
"215" 2016-06-10 1.58774510353042
"216" 2016-06-11 1.60245331776975
"217" 2016-06-12 0.295935707923026
"218" 2016-06-13 0.627522945449035
"219" 2016-06-14 1.27028420629292
"220" 2016-06-15 1.44205479728951
"221" 2016-06-16 1.09042482379418
"222" 2016-06-17 0.683458538746
"223" 2016-06-18 1.13401426478736
"224" 2016-06-19 1.27103973912826
"225" 2016-06-20 1.29318625375095
"226" 2016-06-21 0.767799812249824
"227" 2016-06-22 1.23919065505425
"228" 2016-06-23 0.879487577856405
"229" 2016-06-24 1.01047566058824
"230" 2016-06-25 0.52736615225535
"231" 2016-06-26 1.42300650159
"232" 2016-06-27 1.53871291682599
"233" 2016-06-28 1.49228492264406
"234" 2016-06-29 0.908346001842579
"235" 2016-06-30 1.18429222192804
"236" 2016-07-01 1.10676504387115
"237" 2016-07-02 1.59859112854498
"238" 2016-07-03 0.521504726902043
"239" 2016-07-04 1.26580584492447
"240" 2016-07-05 1.8909123446809
"241" 2016-07-06 2.5505173575003
"242" 2016-07-07 1.44001831653736
"243" 2016-07-08 1.69475312737481
"244" 2016-07-09 1.68087349286954
"245" 2016-07-10 0.661894084137337
"246" 2016-07-11 1.18503100234995
"247" 2016-07-12 1.39221659104439
"248" 2016-07-13 0.798014030839996
"249" 2016-07-14 NA
"250" 2016-07-15 NA
"251" 2016-07-16 NA
"252" 2016-07-17 NA
"253" 2016-07-18 NA
"254" 2016-07-19 1.38704252961806
"255" 2016-07-20 1.33034779265013
"256" 2016-07-21 1.54582306722878
"257" 2016-07-22 1.84060954737369
"258" 2016-07-23 1.48632837602728
"259" 2016-07-24 2.05906347996639
"260" 2016-07-25 1.16926757222702
"261" 2016-07-26 1.4029272134589
"262" 2016-07-27 0.237254508776538
"263" 2016-07-28 1.39607305455944
