"solarDay" "GPPFit"
"1" 2018-08-29 2.69033053927742
"2" 2018-08-30 2.01541964657968
"3" 2018-08-31 2.43835454643061
"4" 2018-09-01 1.28068606537774
"5" 2018-09-02 1.46114780263568
"6" 2018-09-03 1.52596187437205
"7" 2018-09-04 1.92474800211456
"8" 2018-09-05 NA
"9" 2018-09-06 NA
"10" 2018-09-07 NA
"11" 2018-09-08 1.66395765529438
"12" 2018-09-09 1.72811701324257
"13" 2018-09-10 1.90031620927324
"14" 2018-09-11 1.44159311505332
"15" 2018-09-12 1.37455077820249
"16" 2018-09-13 1.85493229492509
"17" 2018-09-14 1.75340867238223
"18" 2018-09-15 1.82610789043718
"19" 2018-09-16 0.972222862775086
"20" 2018-09-17 1.15486677058283
"21" 2018-09-18 1.43880335767537
"22" 2018-09-19 2.00406004678892
"23" 2018-09-20 2.02187845893756
"24" 2018-09-21 1.47072337495337
"25" 2018-09-22 0.779382923664251
"26" 2018-09-23 NA
"27" 2018-09-24 NA
"28" 2018-09-25 NA
"29" 2018-09-26 NA
"30" 2018-09-27 NA
"31" 2018-09-28 NA
"32" 2018-09-29 NA
"33" 2018-09-30 NA
"34" 2018-10-01 NA
"35" 2018-10-02 0.41704687001571
"36" 2018-10-03 0.894007717954743
"37" 2018-10-04 1.43871673494381
"38" 2018-10-05 1.00280985330667
"39" 2018-10-06 1.91030064833916
"40" 2018-10-07 1.44170823193719
"41" 2018-10-08 0.944280158301608
"42" 2018-10-09 1.37274873989629
"43" 2018-10-10 0.713228066407205
"44" 2018-10-11 1.0999771622278
"45" 2018-10-12 1.36226028984074
"46" 2018-10-13 0.782988925769638
"47" 2018-10-14 0.12967099948952
"48" 2018-10-15 4.2428877286908e-06
"49" 2018-10-16 1.7100734317719e-05
"50" 2018-10-17 0.193889500590299
"51" 2018-10-18 1.55042124380417
"52" 2018-10-19 1.79647049842075e-06
"53" 2018-10-20 0.000183565629786221
"54" 2018-10-21 1.60499794013629
"55" 2018-10-22 2.63382293959548e-06
"56" 2018-10-23 0.179942847580617
"57" 2018-10-24 0.901894835810032
"58" 2018-10-25 9.87522616887109e-05
"59" 2018-10-26 1.41486376680749e-05
"60" 2018-10-27 0.362234359426683
"61" 2018-10-28 0.387222918949753
"62" 2018-10-29 1.07915883688134
"63" 2018-10-30 0.239513095634427
"64" 2018-10-31 2.14393857530098e-06
"65" 2018-11-01 1.38000478952484e-05
"66" 2018-11-02 0.305876946750579
"67" 2018-11-03 0.917537781887213
"68" 2018-11-04 0.0875822298586585
"69" 2018-11-05 1.25306872178561
"70" 2018-11-06 0.455217834203105
"71" 2018-11-07 0.538853501501592
"72" 2018-11-08 5.44153440833183e-21
"73" 2018-11-09 0.453641498769235
"74" 2018-11-10 0.535532672451315
"75" 2018-11-11 0.000248076669825587
"76" 2018-11-12 0.141993776664297
"77" 2018-11-13 0.0747539752710806
"78" 2018-11-14 6.91718964666251e-05
"79" 2018-11-15 0.0834707665661351
"80" 2018-11-16 0.294454826649454
"81" 2018-11-17 0.288206306403162
"82" 2018-11-18 0.197654583072514
"83" 2018-11-19 0.000601191473159082
"84" 2018-11-20 0.698622613026467
